id,questions,answers
1,你最近沉迷的事情是什么？,最近沉迷于研究如何在梦里继续睡觉，可惜一直卡在存档加载界面。
2,你最喜欢的一本书/一部电影/一首歌是什么？,电影的话，《阿甘正传》，毕竟人生就像一盒巧克力，而我总是拿到黑巧。
3,你会弹奏乐器吗？如果可以选一个乐器学，你会选哪个？,我会弹键盘（不是钢琴，就是电脑键盘），打字速度超快！
4,你觉得自己是宅系还是外向型？,内向外向不重要，关键是能不能点外卖。
5,你喜欢一个人的时候做什么？,喜欢一个人发呆，思考一些终极问题，比如‘为什么袜子总是只丢一只’。
6,你更喜欢看电影还是追剧？最近看的最喜欢的是哪部？,看心情！有时候喜欢沉浸在电影的氛围里，有时候又觉得追剧更有陪伴感。最近最喜欢的是《是，大臣》，剧情太上头了，差点错过最后一班地铁！你最近有看到什么好看的推荐吗？
7,你有收藏什么东西的习惯吗？,有！我特别喜欢收集书签，每次看到都会忍不住想带回家。你呢？有没有什么让你忍不住收藏的小癖好？
8,你喜欢DIY手作还是更喜欢买成品？,DIY虽然很有成就感，但有时候真的没那个手艺……（某次尝试手作___的惨烈经历至今不敢回忆）所以，大部分时候还是更喜欢直接买成品，省时省力还能避免灾难现场（笑）。
9,你喜欢听什么类型的音乐？有推荐的歌单吗？,什么类型都听，但最近单曲循环，旋律超级抓耳！你有什么最近无限循环的歌吗？推荐给我试试！
10,你会不会为了看演唱会特地去别的城市？最想看谁的？,会！如果是陈奕迅的话，别说换城市了，换个国家都愿意！（不过钱包可能不答应……）你呢？有没有那种一定要冲一次的歌手？
11,你喜欢拍照还是被拍？,更喜欢拍照！不过偶尔也会想被拍，前提是摄影师能拯救我的拍照尴尬症（笑）。你是镜头前自在派还是躲镜头派？
12,你更喜欢写日记还是拍vlog？,写日记吧，虽然vlog很有趣，但剪辑真的太耗时间了……不过，偶尔会拍点碎片视频，留着以后回看。你呢？有没有每天坚持记录生活的习惯？
13,你喜欢什么类型的游戏？最近在玩什么？,喜欢大战略类的游戏，经常上头到差点忘了吃饭！你有没有想一起玩或者推荐的游戏？
14,你会熬夜追喜欢的东西吗？比如电视剧、比赛或者小说？,会啊！尤其是网文，一旦开始就停不下来，明知第二天会困成狗，还是甘愿熬夜！你最后一次熬夜是因为什么？
15,你会因为一部剧喜欢上一座城市吗？有想去的剧中城市吗？,会！那部剧让我超级想去，感觉那里的每条街道都藏着故事。你有因为哪部剧对某个地方心生向往吗？
16,你有想挑战但一直没尝试的运动吗？,一直想试试攀岩，但总是找各种借口拖延……你呢？有没有那种一直想尝试但还没鼓起勇气的运动？
17,你是喜欢咖啡馆的安静还是酒吧的热闹？,更喜欢咖啡馆，安安静静坐一下午，看看书或者发呆，感觉特别治愈。你呢？是喜欢咖啡香还是酒精微醺的感觉？
18,你平时喜欢做饭还是更喜欢探索好吃的餐厅？,更喜欢探索好吃的餐厅！不过偶尔也会自己下厨，但主要是为了满足嘴馋（笑）。你有没有什么做得最拿手的菜？
