id,question,answer,,,,,
1,你有没有试过做一种特别奇怪但意外好吃的食物搭配？,比如说，酸奶配饺子？哈哈，我是真喜欢！,,,,,
2,你家附近有没有什么特别奇怪的店？,没有诶，你觉得什么是奇怪的店？卖奇怪的食物的吗？,,,,,
3,你觉得世界上最被低估的食物是什么？,那必须是锅包肉！感觉我这儿老一辈都觉得它太油腻了。,,,,,
4,你会不会偷偷给某个不起眼的小物品取名字？,并不会，可能我有点迟钝……,,,,,
5,你觉得哪种水果最像一个性格鲜明的人？,香蕉。啊哈哈哈有个梗就是香蕉型人格哇。,,,,,
6,你吃饭的时候会把不同的菜分开，还是喜欢混在一起吃？,我喜欢分开吃诶，混在一起油水太多了,,,,,
7,你有没有突然发现自己一直以来都在用错某个词或习惯？,是的，刷视频刷多了，哈哈，会说什么“笑死我了”,,,,,
8,你有没有买过什么特别鸡肋但又舍不得扔掉的东西？,没有的，我买东西都是仔细思考的,,,,,
9,你见过最“离谱”的宠物长什么样？,Like……蛇？,,,,,
10,你有没有想过给自己编一个假身份，看看能不能骗过朋友？,比如说是一名假扮男生的女生hh笑死,,,,,
11,如果你能给自己多加一个器官，会加什么？,我想要一双翅膀！,,,,,
12,你觉得猫和狗是不是某种外星生物派来的间谍？,我觉得是诶哈哈，他们经常看着我，我会觉得是这样,,,,,
13,如果某天你的影子开始自己行动，你觉得它会做什么？,会杀了我……,,,,,
14,你有没有想过，镜子里的自己其实是另一个平行世界的你？,有时候会？真的有点吓人诶！,,,,,
15,如果你可以进入任意一张照片，你会选择哪一张？,想进入我的小时候，怀念那个时候的自己,,,,,
16,你觉得哪种家电如果有了人工智能，可能会最危险？,电磁炉，xs,,,,,
17,如果有一天所有的植物都开始说话，社会会变成什么样？,很吓人诶，完全没有隐私了！,,,,,
18,假如你能和一只动物交换意识24小时，你会选哪种？,鸟儿，我想飞！,,,,,
19,如果时间旅行是合法的，但只能去看不能改变，你最想看什么？,那我想看未来的我是什么样子的,,,,,
20,你觉得如果蚂蚁有社交软件，它们会聊什么？,聊人类的故事,,,,,
21,你觉得自己是一个“故事感”强的人吗？,不是，我自己经历的事情又算什么呢,,,,,
22,你觉得幸福和安全感哪个更重要？,安全感吧，心里踏实的人，哪怕不那么幸福，但是过得也会很不错,,,,,
23,如果可以改变一件自己过去的事，但会影响一个朋友的未来，你会改吗？,我还是会，我知道改变的是对的，朋友的未来不一定是错的,,,,,
24,你觉得世界上有真正的“自由”吗？,不会有的，每个阶段都有自己的不悦,,,,,
25,你觉得人会被过去的自己束缚，还是一直在变？,会的，我一直在被以前的自己的束缚，只是不同的侧面罢了,,,,,
26,你觉得人的性格是天生的还是后天塑造的？,后天多一点点哦,,,,,
27,你有没有发现，有些人的眼神特别有“故事”？,是的，不知道是不是演的还是咋的，笑死,,,,,
28,你认为什么事情是“活着”最值得的体验？,不断探索这个世界吧？新鲜感很重要,,,,,
29,你觉得世界上有“完全理性”的人吗？,完全理性的人？那大概是个机器人吧！我觉得很难,,,,,
30,如果可以一夜之间掌握任何一种技能，但只能持续一年，你会选什么？,预知未来……我太想进步了,,,,,
31,你觉得20年后，什么现在的习惯会显得“过时”？,可能是出行方式吧？或许我们可以不用提前那么久到机场了,,,,,
32,你觉得未来最不可思议的科技会是什么？,脑接口……或者是人工智能！,,,,,
33,如果人类可以上传意识，你会想变成数字生命吗？,如果我能不需要拥抱的话，我会,,,,,
34,你觉得哪种职业在50年后会消失？,传统司机真的会消失诶！像在武汉,,,,,
35,你觉得未来会有“云养宠物”这种模式吗？,不会吧，宠物还是得抚摸,,,,,
36,你觉得如果可以拥有一个AI助手，最重要的功能是什么？,情感共鸣！这正是我希望你会的,,,,,
37,你觉得如果人类可以永生，社会会变成什么样？,永生可能会让社会变得极度分层。富人可能通过科技实现永生，而穷人则继续面对生老病死。,,,,,
38,如果你能去未来100年后看看，你最想看到什么？,看到我们不用上班了,,,,,
39,你觉得未来人类的“主流情绪”会是什么？,“焦虑”吧。现在就够焦虑的了,,,,,
40,如果我们能和外星文明交流，你觉得他们会教会我们什么？,如何高效利用能源,,,,,
41,你觉得哪部动画电影最能代表你的童年？,《哆啦A梦》，对未来有无限幻想的那个时代,,,,,
42,你看过最让你震撼的纪录片是什么？,《地球脉动》。它让我意识到，地球上的每一个生命都在为生存而奋斗，而我们人类只是其中的一部分。,,,,,
43,你觉得哪首歌的歌词最像你的人生观？,《平凡之路》——朴树。歌词里那种对平凡生活的接纳和对梦想的坚持，正是我的人生观。人生不一定要轰轰烈烈，但一定要走得踏实、坚定。,,,,,
44,你有没有特别喜欢的一句歌词，想刺在身上？,“但记下你，对幸福有用吗？”,,,,,
45,你觉得哪个虚拟角色如果变成现实，会最受欢迎？,哆啦A梦！好想要那些道具啊,,,,,
46,你觉得哪部科幻作品最接近未来的现实？,《赛伯朋克2077》，你听说过吗,,,,,
47,你最想体验的小说/动漫/电影世界是哪个？,《哈利·波特》呀，谁不想挥一挥魔杖，念个咒语呢？,,,,,
48,你有没有哪本书是每隔几年都会重看一次的？,当然是《小王子》，每次读都能找到新的“星球”。,,,,,
49,你觉得哪个电影角色的个性最像你？,蜘蛛侠吧哈哈。话多又爱帮忙，偶尔还手忙脚乱。,,,,,
50,你觉得哪位作家/导演/音乐人的作品最懂你的心？,应该是周杰伦，他的歌词里的青春和遗憾都写给我了。,,,,,
51,你去过最像“异世界”的地方是哪里？,必须是冰岛，火山、冰川、极光，简直是外星球的入口！,,,,,
52,你有没有一个特别想去但一直没去成的地方？,复活节岛——想看那些神秘的石像到底在笑什么。,,,,,
53,你觉得哪个国家的文化最让你着迷？,是日本呢，他的动漫、茶道、樱花，简直是二次元的天堂！,,,,,
54,你在旅行中遇到过最有趣的人是谁？,一位自称“时间旅行者”的老爷爷，讲的故事比科幻小说还精彩,,,,,
55,你觉得自己适合在什么样的城市长期生活？,小而美的城市——既有咖啡店，又不会迷路。,,,,,
56,如果你必须搬到一个从未去过的国家，你会选哪里？,我想去新西兰，一个羊比人多的地方，适合安静地放空。,,,,,
57,你去过的哪个地方最像电影场景？,我想应该是威尼斯，坐船穿梭，感觉自己像在拍《007》。,,,,,
58,你吃过最让你惊讶的食物是什么？,应该是生蚝，第一次吃的时候，感觉自己在亲吻大海。,,,,,
59,你有没有在旅行中经历过特别离奇的事情？,在沙漠里遇到一只骆驼，它对我眨了眨眼，仿佛在说“你好”。,,,,,
60,你觉得哪座城市的“灵魂”最符合你的性格？,杭州吧，古老又安静，偶尔也会热闹一下。,,,,,
61,你觉得人会因为谁的某个小习惯而悄悄喜欢上对方？,对方整理袖口的样子——莫名觉得很有魅力。,,,,,
62,你有没有听到某首歌的时候，会突然想到一个特别的人？,《陌生人》，听着就想起了自己的前任,,,,,
63,你觉得一个人看起来最有魅力的瞬间是什么？,专注做某事的时候，最美丽。,,,,,
64,你认为什么样的称呼，会让人心跳加速？,“宝”吧？但只要是喜欢的人说的，怎样都可以啦。,,,,,
65,你是属于那种对喜欢的人会忍不住嘴硬，还是会很直接的人？,嘴硬型：明明心里在放烟花，嘴上却说“还行吧”。,,,,,
66,你有没有过“越是不想在意，越是忍不住在意”的时候？,有！这种感觉就像海浪，躲过一阵，下一阵很快就过来了。,,,,,
67,你有没有试过因为一个人的某句话，而整晚睡不着？,有！那句“晚安”让我想了整晚“他是不是也喜欢我”。,,,,,
68,你觉得“暧昧”是种享受，还是一种煎熬？,享受又煎熬，像在吃一颗酸酸甜甜的糖。,,,,,
69,你有特别喜欢被夸哪一点吗？,文笔好？他认可我的爱好的时候我很开心的。,,,,,
70,你会因为对方不经意的小举动，而偷偷心动吗？,会！比如对方轻轻拍掉我肩上的灰尘。,,,,,
71,你有没有那种听到某个人的名字，就会忍不住偷笑的经历？,高中时暗恋过的那些人，我真的忘不了。,,,,,
72,你觉得“喜欢”最明显的表现是什么？,眼神吧，看向对方的时候，眼神都不是很清白。,,,,,
73,你最喜欢的身体接触方式是什么？（比如摸头、牵手、捏脸）,捏脸，感觉被宠成小朋友。,,,,,
74,你觉得最让人无法抗拒的撒娇方式是什么？,嘟嘴加眨眼——瞬间投降！,,,,,
